"prey\predator","Isoperla_grammatica$1","Isoperla_grammatica$2","Isoperla_grammatica$3","Isoperla_grammatica$4","Isoperla_grammatica$5","Isoperla_grammatica$6","Isoperla_grammatica$7","Isoperla_grammatica$8","Isoperla_grammatica$9","Isoperla_grammatica$10","Isoperla_grammatica$11","Isoperla_grammatica$12","Isoperla_grammatica$13","Isoperla_grammatica$14","Cricotopus_spx$1","Cricotopus_spx$2","Cricotopus_spx$3","Cricotopus_spx$4","Cricotopus_spx$5"
"Isoperla_grammatica$1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla_grammatica$14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricotopus_spx$1",0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0,0,0,0,0,0
"Cricotopus_spx$2",0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0,0,0,0,0,0
"Cricotopus_spx$3",0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0,0,0,0,0,0
"Cricotopus_spx$4",0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0,0,0,0,0,0
"Cricotopus_spx$5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biofilm$1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0
"Plant1$1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99
"Plant2$1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0
